next_event,count
$session_end,27400
click_question_open,19982
view_timeline_tap,17780
skip_question,14546
click_attendance,8959
click_bottom_navigation_timeline,7939
click_appbar_alarm_center,7851
launch_app,7492
view_lab_tap,7382
click_bottom_navigation_questions,5735
click_appbar_chat_rooms,5677
click_bottom_navigation_profile,5394
click_bottom_navigation_lab,3174
$session_start,2256
click_question_ask,1651
view_profile_tap,1609
view_shop,849
click_friend_invite,578
click_appbar_friend_plus,432
click_question_start,189
view_questions_tap,160
complete_question,135
click_notice_detail,119
click_question_share,90
click_random_ask_normal,29
click_random_ask_shuffle,23
click_random_ask_other,16
click_timeline_chat_start,14
click_appbar_setting,9
click_invite_friend,4
click_purchase,3
click_profile_ask,2
view_login,1
